3025
abcdefg	h	i
ai	bcd	efgh
ad	bci	efgh
ac	bdi	efgh
ab	cdi	efgh
abc	dh	efgi
abd	ch	efgi
abh	cd	efgi
acd	bh	efgi
ach	bd	efgi
adh	bc	efgi
ah	bcd	efgi
ad	bch	efgi
ac	bdh	efgi
ab	cdh	efgi
abc	dg	efhi
abd	cg	efhi
abg	cd	efhi
acd	bg	efhi
acg	bd	efhi
adg	bc	efhi
ag	bcd	efhi
ad	bcg	efhi
ac	bdg	efhi
ab	cdg	efhi
abc	df	eghi
abd	cf	eghi
abf	cd	eghi
acd	bf	eghi
acf	bd	eghi
adf	bc	eghi
af	bcd	eghi
ad	bcf	eghi
ac	bdf	eghi
ab	cdf	eghi
abc	de	fghi
abd	ce	fghi
abe	cd	fghi
acd	be	fghi
ace	bd	fghi
ade	bc	fghi
ae	bcd	fghi
ad	bce	fghi
ac	bde	fghi
ab	cde	fghi
abc	def	ghi
abc	deg	fhi
abc	deh	fgi
abc	dei	fgh
abc	dfg	ehi
abc	dfh	egi
abc	dfi	egh
abc	dgh	efi
abc	dgi	efh
abc	dhi	efg
abd	cef	ghi
abd	ceg	fhi
abd	ceh	fgi
abd	cei	fgh
abd	cfg	ehi
abd	cfh	egi
abd	cfi	egh
abd	cgh	efi
abd	cgi	efh
abd	chi	efg
abe	cdf	ghi
abe	cdg	fhi
abe	cdh	fgi
abe	cdi	fgh
abe	cfg	dhi
abe	cfh	dgi
abe	cfi	dgh
abe	cgh	dfi
abe	cgi	dfh
abe	chi	dfg
abf	cde	ghi
abf	cdg	ehi
abf	cdh	egi
abf	cdi	egh
abf	ceg	dhi
abf	ceh	dgi
abf	cei	dgh
abf	cgh	dei
abf	cgi	deh
abf	chi	deg
abg	cde	fhi
abg	cdf	ehi
abg	cdh	efi
abg	cdi	efh
abg	cef	dhi
abg	ceh	dfi
abg	cei	dfh
abg	cfh	dei
abg	cfi	deh
abg	chi	def
abh	cde	fgi
abh	cdf	egi
abh	cdg	efi
abh	cdi	efg
abh	cef	dgi
abh	ceg	dfi
abh	cei	dfg
abh	cfg	dei
abh	cfi	deg
abh	cgi	def
abi	cde	fgh
abi	cdf	egh
abi	cdg	efh
abi	cdh	efg
abi	cef	dgh
abi	ceg	dfh
abi	ceh	dfg
abi	cfg	deh
abi	cfh	deg
abi	cgh	def
acd	bef	ghi
acd	beg	fhi
acd	beh	fgi
acd	bei	fgh
acd	bfg	ehi
acd	bfh	egi
acd	bfi	egh
acd	bgh	efi
acd	bgi	efh
acd	bhi	efg
ace	bdf	ghi
ace	bdg	fhi
ace	bdh	fgi
ace	bdi	fgh
ace	bfg	dhi
ace	bfh	dgi
ace	bfi	dgh
ace	bgh	dfi
ace	bgi	dfh
ace	bhi	dfg
acf	bde	ghi
acf	bdg	ehi
acf	bdh	egi
acf	bdi	egh
acf	beg	dhi
acf	beh	dgi
acf	bei	dgh
acf	bgh	dei
acf	bgi	deh
acf	bhi	deg
acg	bde	fhi
acg	bdf	ehi
acg	bdh	efi
acg	bdi	efh
acg	bef	dhi
acg	beh	dfi
acg	bei	dfh
acg	bfh	dei
acg	bfi	deh
acg	bhi	def
ach	bde	fgi
ach	bdf	egi
ach	bdg	efi
ach	bdi	efg
ach	bef	dgi
ach	beg	dfi
ach	bei	dfg
ach	bfg	dei
ach	bfi	deg
ach	bgi	def
aci	bde	fgh
aci	bdf	egh
aci	bdg	efh
aci	bdh	efg
aci	bef	dgh
aci	beg	dfh
aci	beh	dfg
aci	bfg	deh
aci	bfh	deg
aci	bgh	def
ade	bcf	ghi
ade	bcg	fhi
ade	bch	fgi
ade	bci	fgh
ade	bfg	chi
ade	bfh	cgi
ade	bfi	cgh
ade	bgh	cfi
ade	bgi	cfh
ade	bhi	cfg
adf	bce	ghi
adf	bcg	ehi
adf	bch	egi
adf	bci	egh
adf	beg	chi
adf	beh	cgi
adf	bei	cgh
adf	bgh	cei
adf	bgi	ceh
adf	bhi	ceg
adg	bce	fhi
adg	bcf	ehi
adg	bch	efi
adg	bci	efh
adg	bef	chi
adg	beh	cfi
adg	bei	cfh
adg	bfh	cei
adg	bfi	ceh
adg	bhi	cef
adh	bce	fgi
adh	bcf	egi
adh	bcg	efi
adh	bci	efg
adh	bef	cgi
adh	beg	cfi
adh	bei	cfg
adh	bfg	cei
adh	bfi	ceg
adh	bgi	cef
adi	bce	fgh
adi	bcf	egh
adi	bcg	efh
adi	bch	efg
adi	bef	cgh
adi	beg	cfh
adi	beh	cfg
adi	bfg	ceh
adi	bfh	ceg
adi	bgh	cef
aef	bcd	ghi
aef	bcg	dhi
aef	bch	dgi
aef	bci	dgh
aef	bdg	chi
aef	bdh	cgi
aef	bdi	cgh
aef	bgh	cdi
aef	bgi	cdh
aef	bhi	cdg
aeg	bcd	fhi
aeg	bcf	dhi
aeg	bch	dfi
aeg	bci	dfh
aeg	bdf	chi
aeg	bdh	cfi
aeg	bdi	cfh
aeg	bfh	cdi
aeg	bfi	cdh
aeg	bhi	cdf
aeh	bcd	fgi
aeh	bcf	dgi
aeh	bcg	dfi
aeh	bci	dfg
aeh	bdf	cgi
aeh	bdg	cfi
aeh	bdi	cfg
aeh	bfg	cdi
aeh	bfi	cdg
aeh	bgi	cdf
aei	bcd	fgh
aei	bcf	dgh
aei	bcg	dfh
aei	bch	dfg
aei	bdf	cgh
aei	bdg	cfh
aei	bdh	cfg
aei	bfg	cdh
aei	bfh	cdg
aei	bgh	cdf
afg	bcd	ehi
afg	bce	dhi
afg	bch	dei
afg	bci	deh
afg	bde	chi
afg	bdh	cei
afg	bdi	ceh
afg	beh	cdi
afg	bei	cdh
afg	bhi	cde
afh	bcd	egi
afh	bce	dgi
afh	bcg	dei
afh	bci	deg
afh	bde	cgi
afh	bdg	cei
afh	bdi	ceg
afh	beg	cdi
afh	bei	cdg
afh	bgi	cde
afi	bcd	egh
afi	bce	dgh
afi	bcg	deh
afi	bch	deg
afi	bde	cgh
afi	bdg	ceh
afi	bdh	ceg
afi	beg	cdh
afi	beh	cdg
afi	bgh	cde
agh	bcd	efi
agh	bce	dfi
agh	bcf	dei
agh	bci	def
agh	bde	cfi
agh	bdf	cei
agh	bdi	cef
agh	bef	cdi
agh	bei	cdf
agh	bfi	cde
agi	bcd	efh
agi	bce	dfh
agi	bcf	deh
agi	bch	def
agi	bde	cfh
agi	bdf	ceh
agi	bdh	cef
agi	bef	cdh
agi	beh	cdf
agi	bfh	cde
ahi	bcd	efg
ahi	bce	dfg
ahi	bcf	deg
ahi	bcg	def
ahi	bde	cfg
ahi	bdf	ceg
ahi	bdg	cef
ahi	bef	cdg
ahi	beg	cdf
ahi	bfg	cde
